AL,Alabama's
AK,Alaska's
AZ,Arizona's
AZ,Arizona's
AR,Arkansas'
CA,California's
CO,Colorado's
CT,Connecticut's
DE,Delaware's
FL,Florida's
GA,Georgia's
HI,Hawaii's
ID,Idaho's
IL,Illinois'
IN,Indiana's
IA,Iowa's
KS,Kansas'
KY,Kentucky's
LA,Louisiana's
ME,Maine's
MD,Maryland's
MA,Massachusetts'
MI,Michigan's
MN,Minnesota's
MS,Mississippi's
MO,Missouri's
MT,Montana's
NE,Nebraska's
NV,Nevada's
NH,New Hampshire's
NJ,New Jersey's
NM,New Mexico's
NY,New York's
NC,North Carolina's
ND,North Dakota's
OH,Ohio's
OK,Oklahoma's
OR,Oregon's
PA,Pennsylvania's
RI,Rhode Island's
SC,South Carolina's
SD,South Dakota's
TN,Tennessee's
TX,Texas'
UT,Utah's
VT,Vermont's
VA,Virginia's
WA,Washington's
WV,West Virginia's
WI,Wisconsin's
WY,Wyoming's
DC,District of Columbia's
AS,American Samoa's
GU,Guam's
MP,Northern Mariana Islands'
PR,Puerto Rico's
VI,Virgin Islands'
